t_index	term	df
668	arkansa	28
669	arkansas-bas	1
670	arkin	2
671	arleigh	2
672	arleigh-burke-class	1
673	arlen	2
674	arlington	8
675	arm	132
676	armament	2
677	armbrist	1
678	armenia	2
679	armey	1
680	armi	136
681	armitag	1
682	armor	17
683	armori	3
684	arn	3
685	arnaud	17
686	arni	1
687	arno	1
688	arnold	3
689	arnot	1
690	aros	5
691	around	190
692	arous	1
693	arraign	2
694	arrang	38
695	array	5
696	arrear	1
697	arrest	109
698	arriv	180
699	arrog	3
700	arrow	4
701	arsen	10
702	arseni	1
703	arsonist	1
704	art	9
705	arthriti	1
706	arthur	4
707	articl	5
708	articul	1
709	artifact	1
710	artifici	4
711	artist	4
712	artudo	1
713	arturo	6
714	aruba	2
715	aryapov	1
716	asa	1
717	asahi	1
718	ascend	1
719	ascrib	4
720	asean	1
721	ash	4
722	ash-shaab	1
723	asham	1
724	ashcroft	56
725	ashkroft	1
726	ashok	1
727	ashor	2
728	ashraf	1
729	ashtray	1
730	asia	22
731	asia-pacif	16
732	asian	15
733	asid	30
734	ask	196
735	aspect	11
736	aspir	2
737	assad	1
738	assail	4
739	assam	6
740	assassin	21
741	assault	28
742	assembl	18
743	assembly-for-export	1
744	assert	17
745	assess	48
746	asset	10
747	assign	24
748	assist	76
749	assisted-suicid	1
750	associ	117
751	associate-turned-inform	3
752	assort	1
753	assum	38
754	assumpt	7
755	assur	35
756	assuredli	2
757	astakhov	12
758	asterisk	2
759	astonish	7
760	astound	2
761	astronom	1
762	astut	1
763	asylum	29
764	asymmetr	2
765	at-sea	3
766	atal	13
767	atck	2
768	ate	4
769	atf	2
770	atfein	1
771	ath	1
772	athal	1
773	athlet	3
774	atlant	15
775	atlanta	6
776	atmat	1
777	atmospher	10
778	atom	4
779	atop	13
780	atp	3
781	atroc	10
782	atrophi	1
783	attach	15
784	attack	306
785	attain	1
786	attempt	112
787	attend	68
788	attent	64
789	attest	2
790	attitud	10
791	attorney	58
792	attract	15
793	attribut	12
794	attrit	1
795	atwan	1
796	aubrey	19
797	aubri	5
798	audienc	16
799	audio	4
800	audiotap	1
801	auditor	5
802	auditorium	1
803	aug	33
804	augment	1
805	august	32
806	aunt	2
807	aur	5
808	aura	1
809	aurora	4
810	ausi	1
811	aussi	9
812	auster	2
813	austin	18
814	australia	23
815	australian	72
816	austria	3
817	austrian	1
818	austro-hungarian	1
819	authent	2
820	author	255
821	authoritarian	27
822	auto	1
823	autocrat	27
824	autograph	1
825	autom	1
826	automat	18
827	automobil	4
828	autonom	1
829	autonomi	3
830	autopilot	1
831	autopsi	1
832	autumn	2
833	avail	44
834	avala	1
835	avalanch	1
836	ave	1
837	aveng	7
838	avent	1
839	avenu	4
840	averag	14
841	avert	6
842	aviat	3
843	aviv	4
844	avner	2
845	avoid	59
846	avow	1
847	aw	10
848	awad	2
849	await	26
850	awaken	2
851	awar	18
852	award	9
853	away	166
854	awe	3
855	awe-struck	1
856	aweigh	1
857	awkward	4
858	awn	4
859	awok	1
860	axam	1
861	axe	1
862	ay	2
863	ayatollah	1
864	aykroyd	1
865	ayman	5
866	aynaoui	1
867	ayr	1
868	ayyam	1
869	az	1
870	aziz	1
871	azul	1
872	azulay	2
873	b	18
874	b-292	1
875	b-52	1
876	b10202000_bt648-00	1
877	b2-92	1
878	b92	2
879	ba	2
880	babenko	2
881	babi	14
882	babkin	6
883	baboa	1
884	back	366
885	back-and-forth	1
886	back-to-back	5
887	backa	1
888	backbo	1
889	backcourt	1
890	backdrop	4
891	backer	14
892	backfir	5
893	background	4
894	backhand	14
895	backho	1
896	backlash	3
897	backstop	2
898	backup	2
899	backward	3
900	backyard	1
901	bacon	18
902	bad	39
903	badg	3
904	badli	39
905	badrasen	5
906	baffl	2
907	bag	14
908	bagad	1
909	baggag	1
910	baghbel	1
911	baghdad	2
912	bahg-bo	5
913	bahrain	34
914	bahrain-bas	3
915	bai	1
916	baijubahi	2
917	bail	4
918	bailey	6
919	baird	1
920	bairnt	1
921	bakarec	3
922	bake	2
923	baken	1
924	baker	5
925	bakhshish	1
926	bakri	5
927	balanc	20
928	balawat	1
929	balcacer	2
930	balconi	11
931	bald	1
932	balint-kurti	1
933	balk	4
934	balkan	25
935	ball	29
936	ball-strik	1
937	ballard	1
938	ballast	2
939	ballena	1
940	ballist	1
941	ballo	1
942	balloon	3
943	ballot	72
944	ballroom	2
945	balonia	1
946	balsamo	1
947	baltimor	3
948	baltin	1
949	bamba	3
950	bambi	1
951	bamboo	2
952	bamboo-support	2
953	bament	1
954	ban	24
955	ban_trti	1
956	banco	1
957	band	11
958	bandag	8
959	bandanna	3
960	bandit	1
961	bang	7
962	bangalor	1
963	bangaru	3
964	bangladesh	5
965	bank	68
966	bank-fraud	1
967	banker	10
968	bankrupt	5
969	bankruptci	4
970	banner	9
971	bannon	1
972	banquet	1
973	baptist	5
974	bar	54
975	barak	9
976	barb	4
977	barbar	2
978	barbara	24
979	barber	1
980	barbershop	1
981	barcelona	1
982	bare	46
983	barefacedli	1
984	barent	36
985	barg	3
986	bargain	9
987	bari	1
